SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1643109171.937825, 0.559944, -11.980435, -0.411204, , , , , , 
1643109171.954506, 0.690428, -11.608586, -2.921525, , , , , , 
1643109171.971174, 1.117344, -12.049119, -2.630629, , , , , , 
1643109171.988016, 1.361253, -11.688493, -1.278204, , , , , , 
1643109172.004544, 2.039261, -10.470592, 0.660500, , , , , , 
1643109172.021218, 1.926135, -10.342502, -0.505925, , , , , , 
1643109172.037010, 2.075922, -10.043377, -1.283442, , , , , , 
1643109172.054501, 2.745102, -9.622296, -2.173486, , , , , , 
1643109172.071224, 2.975095, -9.684396, -1.591097, , , , , , 
1643109172.087946, 2.716222, -9.957335, -1.292570, , , , , , 
1643109172.104593, 1.718588, -10.263494, -0.820014, , , , , , 
1643109172.121264, 0.736516, -9.725696, -0.747290, , , , , , 
1643109172.137923, 0.303615, -9.515904, -0.859219, , , , , , 
1643109172.154574, -0.122852, -9.158719, -1.130662, , , , , , 
1643109172.171284, -0.068235, -8.707562, -1.009755, , , , , , 
1643109172.187863, 0.150535, -8.457517, -0.781856, , , , , , 
1643109172.204610, 0.585233, -7.890241, 0.041749, , , , , , 
1643109172.221336, 0.930596, -7.488165, 0.688632, , , , , , 
1643109172.237948, 1.142333, -7.479037, 0.623989, , , , , , 
1643109172.254623, 1.527351, -7.726388, 0.119710, , , , , , 
1643109172.271246, 1.416320, -8.437616, -0.147842, , , , , , 
1643109172.288141, 1.152509, -8.628254, -0.183905, , , , , , 
1643109172.304630, 0.722450, -8.609549, 0.072425, , , , , , 
1643109172.321330, 0.600645, -8.475773, 0.238672, , , , , , 
1643109172.337892, 0.692074, -8.478916, 0.220566, , , , , , 
1643109172.354589, 1.086668, -8.695890, 0.506374, , , , , , 
1643109172.371199, 1.354220, -8.843882, 0.645387, , , , , , 
1643109172.387801, 1.549946, -9.271845, 0.695665, , , , , , 
1643109172.404557, 1.271620, -9.922918, 0.796371, , , , , , 
1643109172.421252, 1.111508, -10.246136, 0.966210, , , , , , 
1643109172.437915, 0.748487, -10.739640, 1.241394, , , , , , 
1643109172.454528, 0.482432, -11.127501, 0.969502, , , , , , 
1643109172.471244, 0.424971, -11.215338, 0.905308, , , , , , 
1643109172.487864, 0.570568, -11.174038, 1.237653, , , , , , 
1643109172.504529, 0.384569, -11.101015, 1.704372, , , , , , 
1643109172.521174, 0.405817, -11.015423, 1.755548, , , , , , 
1643109172.537926, 0.580594, -10.658836, 1.926584, , , , , , 
1643109172.554545, 0.651223, -9.973047, 1.641225, , , , , , 
1643109172.571216, 0.508319, -9.664794, 1.708263, , , , , , 
1643109172.587837, -0.360627, -11.179575, 1.163732, , , , , , 
1643109172.604462, 0.314389, -13.403788, 1.734749, , , , , , 
1643109172.621212, 0.683096, -13.531280, 1.482460, , , , , , 
1643109172.637888, -0.525827, -11.961731, -0.674716, , , , , , 
1643109172.654543, -1.732055, -10.844237, -1.439364, , , , , , 
1643109172.671198, -1.917307, -10.450391, -0.539593, , , , , , 
1643109172.687866, -1.912817, -9.558102, 0.621146, , , , , , 
1643109172.704522, -2.127996, -9.219622, -0.651372, , , , , , 
1643109172.721208, -2.244564, -9.389161, -0.960075, , , , , , 
1643109172.737967, -2.255039, -9.753379, -0.596156, , , , , , 
1643109172.754544, -2.312649, -10.086921, -0.600795, , , , , , 
1643109172.771207, -2.315343, -10.089315, -0.738761, , , , , , 
1643109172.787871, -2.444330, -9.979781, -0.887800, , , , , , 
1643109172.804533, -2.132934, -9.595661, -0.136320, , , , , , 
1643109172.821204, -1.884985, -9.254637, -0.038008, , , , , , 
1643109172.837972, -1.365144, -8.421155, -0.051176, , , , , , 
1643109172.854538, -0.853982, -8.011448, -0.118214, , , , , , 
1643109172.871204, -0.665588, -7.919720, -0.156820, , , , , , 
1643109172.887871, -0.602441, -7.928548, -0.092177, , , , , , 
1643109172.904471, -0.925957, -8.116044, 0.143054, , , , , , 
1643109172.921114, -1.233612, -8.220791, 0.191835, , , , , , 
1643109172.937949, -1.815703, -8.381501, 0.239121, , , , , , 
1643109172.954488, -2.049437, -8.646360, 0.287005, , , , , , 
1643109172.971188, -1.998111, -8.769063, 0.348207, , , , , , 
1643109172.987863, -1.459565, -9.340828, 0.490811, , , , , , 
1643109173.004485, -1.203236, -9.537452, 0.541389, , , , , , 
1643109173.021093, -1.051503, -9.572916, 0.680851, , , , , , 
1643109173.037893, -1.352275, -9.488371, 0.729334, , , , , , 
1643109173.054527, -1.470189, -9.415198, 0.713322, , , , , , 
1643109173.071272, -1.507300, -9.242367, 0.698957, , , , , , 
1643109173.087917, -1.663671, -8.982745, 0.747141, , , , , , 
1643109173.104501, -1.802385, -8.909423, 0.798616, , , , , , 
1643109173.121233, -1.900996, -9.050232, 0.916231, , , , , , 
1643109173.137820, -1.481113, -9.396493, 1.218948, , , , , , 
1643109173.154529, -1.298854, -9.717616, 1.498920, , , , , , 
1643109173.171268, -1.078737, -10.573243, 1.997812, , , , , , 
1643109173.187771, -0.737564, -10.935366, 1.636586, , , , , , 
1643109173.204516, -0.696713, -11.004200, 1.111658, , , , , , 
1643109173.221101, -0.797120, -11.032481, 0.573860, , , , , , 
1643109173.237885, -1.038335, -11.154586, 1.543961, , , , , , 
1643109173.254537, -1.287632, -11.043854, 1.765574, , , , , , 
1643109173.271209, -1.709909, -10.363601, 1.489193, , , , , , 
1643109173.287774, -1.759140, -9.791686, 1.586458, , , , , , 
1643109173.304637, -2.219575, -10.864887, 1.288978, , , , , , 
1643109173.321204, -1.350479, -13.173496, 1.140987, , , , , , 
1643109173.337870, 2.002151, -12.829928, 0.766444, , , , , , 
1643109173.354538, 2.369063, -12.027871, -0.101005, , , , , , 
1643109173.371175, 1.345092, -10.932523, -1.804929, , , , , , 
1643109173.387844, -0.601394, -9.980529, -1.641824, , , , , , 
1643109173.404546, -1.199645, -9.553912, -1.295712, , , , , , 
1643109173.421174, -1.049259, -9.305065, -0.862511, , , , , , 
1643109173.437841, 0.388160, -9.667936, -0.961422, , , , , , 
1643109173.454503, 1.019032, -9.722404, -1.075595, , , , , , 
1643109173.471243, 2.221819, -9.800216, -1.707365, , , , , , 
1643109173.487839, 2.885612, -10.118195, -1.947833, , , , , , 
1643109173.504576, 2.931850, -10.445303, -1.850119, , , , , , 
1643109173.521167, 2.116025, -10.872519, -1.422455, , , , , , 
1643109173.537847, 0.663643, -10.278757, -1.056591, , , , , , 
1643109173.554507, 0.040851, -9.821015, -1.025317, , , , , , 
1643109173.571173, -0.515053, -9.069984, -1.019481, , , , , , 
1643109173.587832, -0.390704, -8.644415, -0.888249, , , , , , 
1643109173.604521, -0.239869, -8.524854, -0.816872, , , , , , 
1643109173.621174, 0.363919, -8.429834, -0.711676, , , , , , 
1643109173.637843, 0.825850, -8.455422, -0.712574, , , , , , 
1643109173.654500, 1.774702, -8.462306, -0.525827, , , , , , 
1643109173.671252, 2.291700, -8.455572, -0.319925, , , , , , 
1643109173.687918, 2.335095, -8.542212, -0.316783, , , , , , 
1643109173.704636, 2.040009, -8.773851, -0.325163, , , , , , 
1643109173.721111, 1.742530, -8.973019, -0.247052, , , , , , 
1643109173.737912, 1.713051, -9.090036, -0.260669, , , , , , 
1643109173.753941, 1.706168, -9.093328, -0.234781, , , , , , 
1643109173.771110, 1.679981, -9.192687, -0.143951, , , , , , 
1643109173.787782, 1.634043, -9.239224, -0.044592, , , , , , 
1643109173.804501, 1.716643, -9.232042, 0.302118, , , , , , 
1643109173.821092, 1.711405, -9.418041, 0.459387, , , , , , 
1643109173.837835, 1.586308, -9.605836, 0.094272, , , , , , 
1643109173.854426, 1.343446, -9.835081, -0.410606, , , , , , 
1643109173.871167, 1.024868, -10.003423, 0.335637, , , , , , 
1643109173.887779, 1.000327, -10.268731, 0.978181, , , , , , 
1643109173.904498, 1.348085, -11.058817, 1.355567, , , , , , 
1643109173.921092, 1.153257, -11.001955, 1.113154, , , , , , 
1643109173.937837, 0.981623, -10.808623, 1.083227, , , , , , 
1643109173.954427, 1.202338, -10.858902, 1.225682, , , , , , 
1643109173.971111, 1.480365, -10.717793, 1.739388, , , , , , 
1643109173.987763, 1.468992, -10.495731, 1.856853, , , , , , 
1643109174.004503, 1.372326, -10.096947, 1.725770, , , , , , 
1643109174.021111, 0.636409, -12.258312, 1.043573, , , , , , 
1643109174.037835, 0.140510, -12.779051, 0.972495, , , , , , 
1643109174.054425, 0.222212, -11.186758, 0.958878, , , , , , 
1643109174.071109, -0.292242, -9.760861, -0.437241, , , , , , 
1643109174.087761, -0.720056, -9.696966, -1.211765, , , , , , 
1643109174.104502, -1.191564, -9.750835, -1.861492, , , , , , 
1643109174.121097, -1.179444, -9.979182, -1.399411, , , , , , 
1643109174.137834, -1.022474, -10.363003, -0.957830, , , , , , 
1643109174.154448, -0.857872, -11.164312, 0.108487, , , , , , 
1643109174.171132, -1.130662, -11.558308, 0.432902, , , , , , 
1643109174.187798, -1.452682, -11.520150, 0.121206, , , , , , 
1643109174.204520, -2.146252, -10.845883, -0.793977, , , , , , 
1643109174.221100, -2.156278, -9.941324, -1.009006, , , , , , 
1643109174.237841, -1.856254, -9.514108, -0.530316, , , , , , 
1643109174.254462, -1.197400, -8.620323, 0.466570, , , , , , 
1643109174.271174, -0.874781, -8.145673, 0.657059, , , , , , 
1643109174.287798, -0.232238, -7.431452, 0.235380, , , , , , 
1643109174.304616, 0.153977, -7.372645, -0.247800, , , , , , 
1643109174.321099, 0.226102, -7.515249, -0.284611, , , , , , 
1643109174.337843, 0.118663, -7.885602, -0.016759, , , , , , 
1643109174.354466, -0.128539, -8.157644, 0.424372, , , , , , 
1643109174.371330, -0.368857, -8.233959, 0.492308, , , , , , 
1643109174.387769, -0.984615, -8.440159, 0.302268, , , , , , 
1643109174.404456, -1.259500, -8.813056, 0.253037, , , , , , 
1643109174.420312, -1.233912, -8.994716, 0.255880, , , , , , 
1643109174.437849, -1.047613, -9.182512, 0.424821, , , , , , 
1643109174.453429, -0.957082, -9.238177, 0.792630, , , , , , 
1643109174.471144, -0.932841, -9.259874, 1.065569, , , , , , 
1643109174.487832, -1.046865, -9.379435, 0.803554, , , , , , 
1643109174.504456, -0.720355, -9.752182, 0.553509, , , , , , 
1643109174.521154, -0.559495, -9.963620, 0.877026, , , , , , 
1643109174.537841, -0.289549, -10.446500, 1.691952, , , , , , 
1643109174.553829, -0.209792, -10.818350, 1.233612, , , , , , 
1643109174.571186, -0.087388, -10.960655, 0.859219, , , , , , 
1643109174.587151, 0.140360, -11.030686, 0.976086, , , , , , 
1643109174.604461, 0.256329, -10.919355, 1.582418, , , , , , 
1643109174.621142, 0.169988, -10.680085, 1.861791, , , , , , 
1643109174.637945, -0.265008, -10.177003, 2.068590, , , , , , 
1643109174.654436, -2.087744, -12.464513, 1.785326, , , , , , 
1643109174.670439, -1.962497, -13.560160, 1.592593, , , , , , 
1643109174.687816, 1.185728, -12.109573, 0.831237, , , , , , 
1643109174.704460, 2.197129, -10.926388, -0.694917, , , , , , 
1643109174.721178, 2.250400, -10.904242, -1.414973, , , , , , 
1643109174.737942, 2.280926, -10.911873, -2.429067, , , , , , 
