SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1643108927.675022, -1.449091, -11.924321, 1.226579, , , , , , 
1643108927.691661, -0.939575, -13.227964, 1.499070, , , , , , 
1643108927.708446, -0.311396, -10.960954, -0.232387, , , , , , 
1643108927.725074, 0.413299, -11.034726, -0.006434, , , , , , 
1643108927.741670, 0.438588, -11.148151, 0.583886, , , , , , 
1643108927.758376, 0.417639, -10.486154, 0.230292, , , , , , 
1643108927.775002, 0.694169, -9.624691, 0.133626, , , , , , 
1643108927.791674, 1.010652, -9.392004, -0.047285, , , , , , 
1643108927.808434, 1.356016, -9.345916, -0.861314, , , , , , 
1643108927.825058, 1.511041, -9.434950, -1.087416, , , , , , 
1643108927.841671, 1.899949, -9.675867, -0.935983, , , , , , 
1643108927.857677, 1.756446, -10.040384, -0.573112, , , , , , 
1643108927.875027, 1.604265, -10.348039, -0.444723, , , , , , 
1643108927.891773, 0.967706, -10.488848, -0.414047, , , , , , 
1643108927.908352, 0.717063, -10.338163, -0.143353, , , , , , 
1643108927.925003, 0.530166, -10.059986, -0.123301, , , , , , 
1643108927.941671, 0.367809, -9.688736, -0.002693, , , , , , 
1643108927.958341, 0.054917, -8.793753, 0.361225, , , , , , 
1643108927.975015, -0.111181, -8.289025, 0.323068, , , , , , 
1643108927.991681, 0.388160, -7.866449, 0.459088, , , , , , 
1643108928.008345, 1.008408, -8.158990, 0.404770, , , , , , 
1643108928.025012, 1.030255, -8.246828, 0.415544, , , , , , 
1643108928.041745, 0.977433, -8.444050, 0.370503, , , , , , 
1643108928.058333, 0.793229, -8.646659, 0.363320, , , , , , 
1643108928.075005, 0.695216, -8.799739, 0.407613, , , , , , 
1643108928.091697, 0.825251, -9.216180, 0.659303, , , , , , 
1643108928.108438, 0.982820, -9.529372, 0.817021, , , , , , 
1643108928.125053, 0.999430, -9.658209, 0.912340, , , , , , 
1643108928.141673, 0.753126, -9.694422, 0.945710, , , , , , 
1643108928.158335, 0.441431, -9.308506, 0.830339, , , , , , 
1643108928.175006, 0.294786, -9.073875, 0.806696, , , , , , 
1643108928.191772, 0.289249, -9.161113, 1.403601, , , , , , 
1643108928.208356, 0.511012, -9.712827, 1.548450, , , , , , 
1643108928.225021, 0.554108, -9.971551, 1.612944, , , , , , 
1643108928.241677, 0.635361, -10.271574, 1.660379, , , , , , 
1643108928.257794, 0.191835, -10.446650, 1.533785, , , , , , 
1643108928.275011, -0.045191, -10.432434, 1.625513, , , , , , 
1643108928.291734, -0.065392, -10.486603, 1.549497, , , , , , 
1643108928.308365, 0.072874, -10.582820, 1.625214, , , , , , 
1643108928.325010, 0.152630, -10.499771, 1.387440, , , , , , 
1643108928.341679, 0.482132, -10.477176, 2.201169, , , , , , 
1643108928.357695, 0.430358, -10.480767, 2.128445, , , , , , 
1643108928.374383, 0.298078, -10.461165, 2.165555, , , , , , 
1643108928.391667, 0.062399, -10.075549, 1.898452, , , , , , 
1643108928.408466, -0.600047, -11.172093, 0.830189, , , , , , 
1643108928.424674, -0.591069, -12.954576, 2.252046, , , , , , 
